node_id,lat,lon,hospital_name,hospital_capacity,hospital_specialties,hospital_emergency
31432048,42.5840395,-5.5955523,,0,,False
35317211,42.6201373,-5.5834189,,0,,False
35317213,42.6173934,-5.5806276,,0,,False
35317217,42.6134295,-5.5777877,,0,,False
48404653,42.55549,-5.5828525,,0,,False
48515621,42.5644368,-5.582117,,0,,False
48515623,42.5654441,-5.5822268,,0,,False
48515627,42.5662817,-5.5822961,,0,,False
48515634,42.5760913,-5.5833114,,0,,False
48515646,42.5690651,-5.582768,,0,,False
48515686,42.571455,-5.5676936,,0,,False
48515894,42.5683443,-5.5827471,,0,,False
48515949,42.5699747,-5.5829926,,0,,False
114180734,42.5897882,-5.5542477,,0,,False
114180763,42.6072634,-5.551171,,0,,False
114180776,42.6156542,-5.5567931,,0,,False
114180813,42.6197728,-5.5792681,,0,,False
129850323,42.5979094,-5.5719003,,0,,False
129850332,42.5991998,-5.5760991,,0,,False
129850342,42.5996388,-5.5754409,,0,,False
129850361,42.599323,-5.576248,,0,,False
129850371,42.5964326,-5.5775734,,0,,False
129850381,42.5965252,-5.5781705,,0,,False
129850400,42.5961221,-5.5781888,,0,,False
129850405,42.5962107,-5.5777124,,0,,False
129850410,42.5963128,-5.5775884,,0,,False
129850415,42.5965833,-5.5777415,,0,,False
129850424,42.5939486,-5.5705407,,0,,False
129850454,42.5968902,-5.5716165,,0,,False
129850480,42.593931,-5.5743067,,0,,False
129850487,42.5939329,-5.5741058,,0,,False
129850502,42.5937491,-5.5740962,,0,,False
129850521,42.5877139,-5.5730007,,0,,False
129850527,42.5935654,-5.5765046,,0,,False
129850548,42.5977881,-5.5722097,,0,,False
129850561,42.5959882,-5.5710642,,0,,False
129850605,42.5894565,-5.571614,,0,,False
129850611,42.5887978,-5.5736422,,0,,False
129850654,42.5968224,-5.5715654,,0,,False
129850663,42.6013504,-5.5809388,,0,,False
129850675,42.6018294,-5.5750922,,0,,False
129850680,42.6046247,-5.5775683,,0,,False
129850692,42.6018112,-5.5720491,,0,,False
129850696,42.6026413,-5.5718478,,0,,False
129850699,42.6002182,-5.5736223,,0,,False
248595075,42.5674765,-5.5886553,,0,,False
248595166,42.5686298,-5.5856322,,0,,False
248595177,42.5715163,-5.5712315,,0,,False
248595182,42.5716176,-5.5673721,,0,,False
248595198,42.5723022,-5.5680099,,0,,False
248595203,42.5707544,-5.5673386,,0,,False
248595204,42.5706277,-5.5677054,,0,,False
248595214,42.5713559,-5.5697231,,0,,False
248595219,42.5708085,-5.568331,,0,,False
248595237,42.5705751,-5.5674653,,0,,False
248595240,42.5702964,-5.5670434,,0,,False
248595248,42.5724469,-5.5676801,,0,,False
248595252,42.572732,-5.5679065,,0,,False
248595254,42.5726834,-5.5681515,,0,,False
248595257,42.5724627,-5.5682449,,0,,False
248595259,42.572333,-5.5681179,,0,,False
255649089,42.5544419,-5.5841098,,0,,False
257426432,42.6112467,-5.5539461,,0,,False
257426434,42.6110362,-5.5534626,,0,,False
257426440,42.6095146,-5.556057,,0,,False
257426441,42.6087897,-5.5565114,,0,,False
257426442,42.6076036,-5.5573518,,0,,False
267837959,42.6196276,-5.5805822,,0,,False
267838089,42.6221423,-5.5854264,,0,,False
267840724,42.5871539,-5.5542418,,0,,False
267841853,42.6120093,-5.5775547,,0,,False
267841857,42.6119137,-5.577429,,0,,False
268308861,42.588466,-5.5565043,,0,,False
268308866,42.588137,-5.5567466,,0,,False
268308867,42.5878768,-5.5565808,,0,,False
268308871,42.5877934,-5.5562664,,0,,False
268308874,42.5880221,-5.5558085,,0,,False
268308877,42.5882158,-5.555782,,0,,False
268308878,42.588497,-5.5561165,,0,,False
268308903,42.5912029,-5.5634418,,0,,False
268308905,42.5919399,-5.5653973,,0,,False
268317334,42.5938827,-5.5743675,,0,,False
268317340,42.5948311,-5.5772339,,0,,False
268317343,42.5958708,-5.5763086,,0,,False
268317345,42.5953206,-5.576673,,0,,False
268317348,42.5948228,-5.5752812,,0,,False
268327538,42.601755,-5.5516232,,0,,False
268327539,42.6015518,-5.5514971,,0,,False
268327541,42.6014841,-5.5513798,,0,,False
268327542,42.6014576,-5.5509946,,0,,False
268327545,42.6016953,-5.5506854,,0,,False
268327546,42.6018949,-5.5506876,,0,,False
268327549,42.602131,-5.5510114,,0,,False
268327551,42.6021202,-5.5513176,,0,,False
268327552,42.6015629,-5.5518717,,0,,False
268327557,42.6005194,-5.556239,,0,,False
268327558,42.6005073,-5.5569684,,0,,False
268327559,42.6003157,-5.5569949,,0,,False
268327560,42.6002206,-5.5568512,,0,,False
268327561,42.600252,-5.5566081,,0,,False
268327562,42.6003707,-5.556518,,0,,False
268327563,42.600517,-5.5565775,,0,,False
268327564,42.6005527,-5.5566343,,0,,False
268327577,42.6036615,-5.5610416,,0,,False
268327578,42.6034411,-5.5627535,,0,,False
268327586,42.6005633,-5.5568744,,0,,False
268327589,42.6031506,-5.5598083,,0,,False
268329771,42.6038971,-5.5626617,,0,,False
268329783,42.6037078,-5.5631414,,0,,False
268329787,42.6033605,-5.5632229,,0,,False
268329788,42.603323,-5.5631605,,0,,False
268329791,42.6033616,-5.5628653,,0,,False
268329795,42.6038616,-5.5625955,,0,,False
268329800,42.6033009,-5.5652605,,0,,False
268360652,42.6105614,-5.5920778,,0,,False
268360658,42.6104207,-5.5922287,,0,,False
268360662,42.6103086,-5.5920831,,0,,False
268360667,42.6103093,-5.592024,,0,,False
268360674,42.6104759,-5.5918922,,0,,False
268360677,42.6105516,-5.5919922,,0,,False
268360683,42.6112024,-5.5908838,,0,,False
268360686,42.6111202,-5.5908147,,0,,False
268360695,42.6112264,-5.5905687,,0,,False
268360697,42.6113079,-5.5906323,,0,,False
268360702,42.6124612,-5.5876935,,0,,False
268360705,42.6123017,-5.5878726,,0,,False
268360707,42.6122454,-5.5878719,,0,,False
268360711,42.6121426,-5.5878006,,0,,False
268360714,42.6120913,-5.5875785,,0,,False
268360717,42.6122301,-5.587375,,0,,False
268360720,42.6122733,-5.5873694,,0,,False
268360723,42.612428,-5.5874705,,0,,False
268360731,42.6128955,-5.5846148,,0,,False
268360734,42.612784,-5.5845981,,0,,False
268360739,42.6127114,-5.5842947,,0,,False
