edge_id,origin_id,destination_id,key,street_name,highway_type,length_m,lanes,maxspeed_kmh,oneway,base_time_min,base_risk,surface_quality,has_coverage,origin_lat,origin_lon,destination_lat,destination_lon
1168,568134514,295152081,0,Calle Joaquín González Vecín,residential,82.23,1,30,True,0.1645,0.6,0.85,True,42.6148866,-5.5666827,42.615562,-5.5662828
1169,568134516,417962905,0,Calle Joaquín González Vecín,residential,5.55,2,30,True,0.0111,0.6,0.85,True,42.614953,-5.5669786,42.6149166,-5.567025
1170,568134523,568134529,0,Calle Joaquín González Vecín,residential,16.65,2,30,True,0.0333,0.6,0.85,True,42.614734,-5.5669916,42.6147062,-5.5668003
1171,568134529,568134512,0,Calle Joaquín González Vecín,residential,15.04,2,30,True,0.0301,0.6,0.85,True,42.6147062,-5.5668003,42.6148013,-5.566679
1172,568134529,11111276591,0,Calle Joaquín González Vecín,residential,15.17,1,30,True,0.0303,0.6,0.85,True,42.6147062,-5.5668003,42.6146007,-5.5666828
1173,580025190,7102285187,0,Calle de San Pedro,tertiary,4.8,1,30,True,0.0096,0.5,0.85,True,42.6003997,-5.5627563,42.6003704,-5.5627993
1174,580025190,7102285185,0,Calle de Miguel Zaera,tertiary,10.21,1,30,True,0.0204,0.5,0.85,True,42.6003997,-5.5627563,42.6004345,-5.562869
1175,580025195,5286932266,0,Calle de Miguel Zaera,tertiary,55.33,1,30,True,0.1107,0.5,0.85,True,42.6000637,-5.5578646,42.6000454,-5.5585376
1176,580025195,600499807,0,Calle de Miguel Zaera,tertiary,54.31,2,30,False,0.1086,0.5,0.85,True,42.6000637,-5.5578646,42.6003317,-5.5573111
1177,580096319,995291868,0,Avenida Reyes Leoneses,primary,64.87,2,30,True,0.1297,0.3,0.85,True,42.607665,-5.5843331,42.6081932,-5.5846693
1178,580096319,580096336,0,Calle Marcelino Elosúa,residential,110.8,1,30,False,0.2216,0.6,0.85,True,42.607665,-5.5843331,42.6080884,-5.5831076
1179,580096321,272654038,0,Calle las Campanillas,residential,117.55,1,30,False,0.2351,0.6,0.85,True,42.6074718,-5.5826332,42.6070242,-5.5839343
1180,580096321,580096322,0,Calle las Campanillas,residential,19.7,1,30,True,0.0394,0.6,0.85,True,42.6074718,-5.5826332,42.607404,-5.5824129
1181,580096322,604968633,0,Calle las Campanillas,residential,7.72,1,30,True,0.0154,0.6,0.85,True,42.607404,-5.5824129,42.6073608,-5.5823393
1182,580096324,621950490,0,Calle las Campanillas,residential,17.95,1,30,True,0.0359,0.6,0.85,True,42.6076529,-5.5821151,42.6075855,-5.5823144
1183,580096336,580096319,0,Calle Marcelino Elosúa,residential,110.8,1,30,False,0.2216,0.6,0.85,True,42.6080884,-5.5831076,42.607665,-5.5843331
1184,581088401,606993531,0,Avenida San Ignacio de Loyola,secondary,89.52,2,30,False,0.179,0.4,0.85,True,42.6058357,-5.591427,42.605211,-5.5907371
1185,581088401,606988478,0,Avenida San Ignacio de Loyola,secondary,58.94,2,30,False,0.1179,0.4,0.85,True,42.6058357,-5.591427,42.6062469,-5.5918815
1186,581886745,288584064,0,Glorieta de Carlos Pinilla,secondary,22.56,2,30,True,0.0451,0.4,0.85,True,42.6019866,-5.588575,42.601999,-5.5883085
1187,581886785,288593232,0,Plaza Martín Granizo,secondary,62.07,2,30,True,0.1241,0.4,0.85,True,42.6037435,-5.5835949,42.6037705,-5.582996
1188,581886871,299834953,0,,primary,19.41,3,30,True,0.0388,0.3,0.85,True,42.6084074,-5.5848314,42.6085761,-5.5848782
1189,581887004,268360695,0,,primary,13.97,2,50,True,0.0168,0.3,0.85,True,42.6111177,-5.590642,42.6112264,-5.5905687
1190,581887004,295154942,0,Avenida de los Peregrinos,residential,334.34,1,30,False,0.6687,0.6,0.85,True,42.6111177,-5.590642,42.6084993,-5.5886345
1191,581887009,722618491,0,Avenida de los Peregrinos,residential,265.52,1,30,False,0.531,0.6,0.85,True,42.611325,-5.590783,42.613363,-5.5924676
1192,581887009,268360683,0,,primary,17.01,2,50,True,0.0204,0.3,0.85,True,42.611325,-5.590783,42.6112024,-5.5908838
1193,581887042,417962924,0,,primary,13.88,2,40,True,0.0208,0.3,0.85,True,42.6121858,-5.5774656,42.6120862,-5.5775607
1194,581887045,581887046,0,,primary,13.15,2,40,True,0.0197,0.3,0.85,True,42.6119047,-5.5773667,42.6119447,-5.5772193
1195,581887045,7102088819,0,Avenida de Asturias,secondary,14.77,2,50,True,0.0177,0.4,0.85,True,42.6119047,-5.5773667,42.61181,-5.57725
1196,581887046,5286932156,0,,primary,22.89,2,40,True,0.0343,0.3,0.85,True,42.6119447,-5.5772193,42.6121339,-5.5771821
1197,581897538,610521807,0,Calle de la Cofradía del Dulce Nombre De Jesús Nazareno,secondary,10.31,2,30,True,0.0206,0.4,0.85,True,42.5944422,-5.5721865,42.5943515,-5.5722127
1198,582067280,129850487,0,Avenida de Lancia,primary,8.91,2,30,True,0.0178,0.3,0.85,True,42.5938767,-5.5740319,42.5939329,-5.5741058
1199,582067285,1313935172,0,Plaza Jardín de San Francisco,primary,37.65,2,30,True,0.0753,0.3,0.85,True,42.5938278,-5.5722761,42.5938607,-5.5718183
1200,582067285,593659823,0,Plaza Jardín de San Francisco,secondary,57.48,1,30,True,0.115,0.4,0.85,True,42.5938278,-5.5722761,42.5933115,-5.5722459
1201,582067288,582067285,0,Plaza Jardín de San Francisco,secondary,10.66,1,50,True,0.0128,0.4,0.85,True,42.5939231,-5.5722906,42.5938278,-5.5722761
1202,582067288,603157015,0,Avenida de Lancia,primary,90.51,2,30,True,0.181,0.3,0.85,True,42.5939231,-5.5722906,42.5938782,-5.5733946
1203,582679463,295433509,0,,trunk,11.0,2,30,True,0.022,0.15,0.85,True,42.5872542,-5.5608821,42.5872122,-5.5607605
1204,582679467,582679468,0,,trunk,11.04,2,30,True,0.0221,0.15,0.85,True,42.5876204,-5.5604134,42.5876584,-5.560538
1205,582679468,4833213925,0,Avenida Alcalde Miguel Castaño,secondary,179.04,2,30,True,0.3581,0.4,0.85,True,42.5876584,-5.560538,42.5888946,-5.5618406
1206,582679468,295433496,0,,trunk,39.35,2,30,True,0.0787,0.15,0.85,True,42.5876584,-5.560538,42.5875655,-5.5609719
1207,582983206,603155851,0,,residential,11.04,1,30,False,0.0221,0.6,0.85,True,42.5937768,-5.575885,42.5936778,-5.5758745
1208,582983206,7101464921,0,Avenida de Lancia,primary,37.36,2,30,True,0.0747,0.3,0.85,True,42.5937768,-5.575885,42.5937589,-5.5763408
1209,582983208,4816580131,0,Calle Luis de Sosa,residential,31.43,1,30,True,0.0629,0.6,0.85,True,42.5936654,-5.5761836,42.5935758,-5.5758194
1210,582983208,603155851,0,Avenida de Lancia,primary,25.34,2,30,True,0.0507,0.3,0.85,True,42.5936654,-5.5761836,42.5936778,-5.5758745
1211,582983209,4816580190,0,Calle Comandante Zorita,residential,13.63,1,30,True,0.0273,0.6,0.85,True,42.5937421,-5.5742721,42.5936432,-5.5741782
1212,582983209,129850502,0,Avenida de Lancia,primary,14.42,2,30,True,0.0288,0.3,0.85,True,42.5937421,-5.5742721,42.5937491,-5.5740962
1213,582983210,582983206,0,Avenida de Lancia,primary,123.54,2,30,True,0.2471,0.3,0.85,True,42.5938506,-5.5743798,42.5937768,-5.575885
1214,582983210,582983209,0,Avenida de Lancia,primary,16.14,2,30,True,0.0323,0.3,0.85,True,42.5938506,-5.5743798,42.5937421,-5.5742721
1215,583218684,129850454,0,Plaza de San Marcelo | Calle Legión VII | Calle Arco de Ánimas,living_street,239.93,1,30,True,0.4799,0.7,0.85,True,42.5974348,-5.5719931,42.5968902,-5.5716165
1216,583218684,129850454,1,Avenida Independencia,secondary,67.95,3,30,False,0.1359,0.4,0.85,True,42.5974348,-5.5719931,42.5968902,-5.5716165
1217,583218684,7101773804,0,Avenida Independencia,secondary,37.62,3,30,False,0.0752,0.4,0.85,True,42.5974348,-5.5719931,42.597741,-5.5721877
1218,583218696,595257684,0,Plaza de San Marcelo,living_street,31.99,1,20,True,0.096,0.7,0.85,True,42.5979386,-5.571797,42.597968,-5.5714112
1219,583218696,568072503,0,Plaza de Santo Domingo,secondary,20.82,2,30,False,0.0416,0.4,0.85,True,42.5979386,-5.571797,42.5980968,-5.5716794
